lat,lon,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
-55.75,-68.25,18.84020563813607,17.016882465446542,18.84020563813607,18.232374070121352,18.84020563813607,18.232374070121352,18.84020563813607,18.84020563813607,18.232374070121352,18.84020563813607,18.232374070121352,18.84020563813607
-55.75,-67.75,0.1382799806873587,0.12489735017395365,0.1382799806873587,0.1338185894720878,0.1382799806873587,0.1338185894720878,0.1382799806873587,0.1382799806873587,0.1338185894720878,0.1382799806873587,0.1338185894720878,0.1382799806873587
-55.75,-67.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-55.25,-70.75,6.234645331260879,5.631277699874772,6.234645331260879,6.033511821294439,6.234645331260879,6.033511821294439,6.234645331260879,6.234645331260879,6.033511821294439,6.234645331260879,6.033511821294439,6.234645331260879
-55.25,-70.25,5.800865815921952,5.2394738287776335,5.800849377268065,5.613723545331609,5.800847663509387,5.613723545331609,5.800847663509387,5.800847663509387,5.613723545331609,5.800847663509387,5.613723545331609,5.800866972670889
-55.25,-69.75,13.208833784474905,11.930510751177167,13.208814839557306,12.782722527254691,13.208839925959182,12.782722527254691,13.208839925959182,13.208839925959182,12.782722527254691,13.208810643310073,12.782727960655052,13.208804013890017
-55.25,-69.25,174.93021094959022,158.00114078940578,174.93039685959047,169.28708171936478,174.93019762569293,169.28708171936478,174.93019762569293,174.93019762569293,169.28708171936478,174.93041162777763,169.28708231118344,174.93016993696983
-55.25,-68.75,222.6994653480433,201.14781296674937,222.69922436259048,215.51524968962167,222.69932558334358,215.51524968962167,222.69932558334358,222.69932558334358,215.51524968962167,222.69932558334358,215.51524968962167,222.6994579137513
-55.25,-68.25,334.4161163964941,302.0529841228754,334.41571648423496,323.628074909946,334.41597217764047,323.628074909946,334.41597217764047,334.41597217764047,323.628074909946,334.41597217764047,323.628074909946,334.41615576161985
-55.25,-67.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-55.25,-67.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-55.25,-66.75,0.9232581770889396,0.8339106115641783,0.9232581770889396,0.8934756552473431,0.9232581770889396,0.8934756552473431,0.9232581770889396,0.9232581770889396,0.8934756552473431,0.9232581770889396,0.8934756552473431,0.9232581770889396
-54.75,-71.75,7.085250086847736,6.399580723604487,7.085250086847736,6.856682028561437,7.085250086847736,6.856682028561437,7.085250086847736,7.085250086847736,6.856682028561437,7.085250086847736,6.856682028561437,7.085250086847736
-54.75,-71.25,8.026806330105671,7.250012688235955,8.026842316908471,7.767876659890845,8.026841187741752,7.767876659890845,8.026841187741752,8.026841187741752,7.767876659890845,8.026841187741752,7.7678532401805285,8.026825620755915
-54.75,-70.75,11.3680673104123,10.267866679147005,11.36808530259384,11.001295515905667,11.36803600925333,11.001295515905667,11.36803600925333,11.36803600925333,11.001295515905667,11.368064274932976,11.001344355791673,11.368074731719616
-54.75,-70.25,18.580759551196707,16.78262964224666,18.580767860160222,17.981374661976815,18.58075381737774,17.981374661976815,18.58075381737774,18.58075381737774,17.981374661976815,18.58075381737774,17.981374661976815,18.58078855011354
-54.75,-69.75,17.614451773447115,15.909829707476604,17.614406485126608,17.04621354914326,17.614449311821318,17.04621354914326,17.614449311821318,17.614449311821318,17.04621354914326,17.614449311821318,17.04621354914326,17.614434577032682
-54.75,-69.25,54.40023276239981,49.13561633788663,54.400228329488755,52.64523436681134,54.40007551238159,52.64523436681134,54.40007551238159,54.40007551238159,52.64523436681134,54.40007551238159,52.64523436681134,54.40022564371293
-54.75,-68.75,93.28496847274528,84.25709860675852,93.28432306621471,90.2750871125636,93.28529054499177,90.2750871125636,93.28529054499177,93.28529054499177,90.2750871125636,93.28529054499177,90.275048946075,93.28440005056837
-54.75,-68.25,11552.884987008845,10434.845638639948,11552.875710260065,11180.195425168145,11552.883271926956,11180.195425168145,11552.883271926956,11552.883271926956,11180.195425168145,11552.88918240249,11180.190980489773,11552.883767832682
-54.75,-67.75,347.38219274585117,313.7640024526245,347.38217167891344,336.17525841517,347.38231723229546,336.1750126229772,347.38231723229546,347.38231723229546,336.1750126229772,347.38231723229546,336.17535955557923,347.382400542454
-54.75,-67.25,759.3492275288081,685.8625296849459,759.3491078303014,734.8525491312284,759.3486146724608,734.8525491312284,759.3486146724608,759.3486146724608,734.8525491312284,759.3492459773406,734.8528029306726,759.3487257526722
-54.75,-66.75,694.6156819593998,627.3927923343927,694.6153740219852,672.2071220949692,694.6160938887897,672.2071220949692,694.6160938887897,694.6160938887897,672.2071220949692,694.6160938887897,672.2077484223264,694.6159727330851
-54.75,-66.25,1141.3177937587025,1030.865500766664,1141.3166896596886,1104.4978713850032,1141.318389378459,1104.4978713850032,1141.318389378459,1141.318389378459,1104.4978713850032,1141.318389378459,1104.4978713850032,1141.3163238610578
-54.75,-65.75,275.6948423038484,249.01461365535488,275.69480423972163,266.8009068160054,275.6948352702602,266.8009068160054,275.6948352702602,275.6948352702602,266.8009068160054,275.6948352702602,266.8009068160054,275.69533284494537
-54.75,-65.25,237.43348803384924,214.4557902215961,237.43378861015935,229.77413494036227,237.43353923098311,229.77413494036227,237.43353923098311,237.43353923098311,229.77413494036227,237.43353923098311,229.77428631574548,237.43338333018164
-54.75,-64.75,4.457410583503474,4.0260482689708965,4.457410583503474,4.313581887115674,4.457410583503474,4.313581887115674,4.457410583503474,4.457410583503474,4.313581887115674,4.457410583503474,4.313581887115674,4.457410583503474
-54.75,-64.25,31.47686707728326,28.430718650449762,31.47686707728326,30.461484268338438,31.47686707728326,30.461484268338438,31.47686707728326,31.47686707728326,30.461484268338438,31.47686707728326,30.461484268338438,31.47686707728326
-54.75,-36.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-54.75,-35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-54.75,158.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-54.75,159.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
