Basin_ID,BasinCons_InclNegat_Jan_m3,BasinCons_InclNegat_Feb_m3,BasinCons_InclNegat_Mar_m3,BasinCons_InclNegat_Apr_m3,BasinCons_InclNegat_May_m3,BasinCons_InclNegat_Jun_m3,BasinCons_InclNegat_Jul_m3,BasinCons_InclNegat_Aug_m3,BasinCons_InclNegat_Sep_m3,BasinCons_InclNegat_Oct_m3,BasinCons_InclNegat_Nov_m3,BasinCons_InclNegat_Dec_m3,BasinCons_Jan_m3,BasinCons_Feb_m3,BasinCons_Mar_m3,BasinCons_Apr_m3,BasinCons_May_m3,BasinCons_Jun_m3,BasinCons_Jul_m3,BasinCons_Aug_m3,BasinCons_Sep_m3,BasinCons_Oct_m3,BasinCons_Nov_m3,BasinCons_Dec_m3
41698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41699,-601862.7605640963,-28283.42881451547,0.0,0.0,0.0,0.0,0.0,0.0,1229663.75,58911076.0,39051744.0,12999964.0,-601862.7605640963,-28283.42881451547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41731,0.0,0.0,0.0,0.0,-27109.71477072593,-125506.25287238043,649445.875,-419518.31768696196,-382603.25112245977,-108695.01433606353,0.0,0.0,0.0,0.0,0.0,0.0,-27109.71477072593,-125506.25287238043,0.0,-419518.31768696196,-382603.25112245977,-108695.01433606353,0.0,0.0
41732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41815,0.0,-17820.733979287674,-70162.67626376497,-146462.32829878526,-178607.56624813098,-165076.33088783594,-62868.38567695534,-32798.60810436527,-55575.14054821349,-50498.43310374974,-29017.177508619818,-14088.701568672739,0.0,-17820.733979287674,-70162.67626376497,-146462.32829878526,-178607.56624813098,-165076.33088783594,-62868.38567695534,-32798.60810436527,-55575.14054821349,-50498.43310374974,-29017.177508619818,-14088.701568672739
41826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41854,-110143.91554046702,-669417.3556147814,-1763224.1787642837,-662999.9430979043,-606277.410135597,-450320.54781443626,0.0,0.0,0.0,0.0,0.0,-5441.612771145767,-110143.91554046702,-669417.3556147814,-1763224.1787642837,-662999.9430979043,-606277.410135597,-450320.54781443626,0.0,0.0,0.0,0.0,0.0,-5441.612771145767
41855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41862,0.0,-36038.45571036823,118279.26179353893,41543.39393436909,0.0,0.0,0.0,-83541.97325340658,0.0,0.0,0.0,0.0,0.0,-36038.45571036823,118279.26179353893,41543.39393436909,0.0,0.0,0.0,-83541.97325340658,0.0,0.0,0.0,0.0
41863,-36607.45323988795,-150563.00269793626,-265128.09042223543,-286020.5482731126,2341.20458984375,3439.810546875,0.0,0.0,0.0,0.0,0.0,-27951.908679810353,-36607.45323988795,-150563.00269793626,-265128.09042223543,-286020.5482731126,2341.20458984375,3439.810546875,0.0,0.0,0.0,0.0,0.0,-27951.908679810353
41864,186244.48605090752,542584.2094386332,1160550.6181653962,204531.734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43396.88350331783,186244.48605090752,542584.2094386332,1160550.6181653962,204531.734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43396.88350331783
41868,3227.0124674104154,-42155.72381582856,-303925.244346112,489117.6173247695,-356068.60359692574,-654672.334261924,-271757.0655606985,4616028.653131038,0.0,0.0,0.0,7212.114628483076,3227.0124674104154,-42155.72381582856,-303925.244346112,489117.6173247695,-356068.60359692574,-654672.334261924,-271757.0655606985,4616028.653131038,0.0,0.0,0.0,7212.114628483076
41991,484.23511716350913,0.0,0.0,230.70744789438322,1922.6698041884229,4584.778172498569,12575.73319517821,14823.01148622483,3968.8551932908595,1297.5358049944043,4278.952924828976,717.0271948063746,484.23511716350913,0.0,0.0,230.70744789438322,1922.6698041884229,4584.778172498569,12575.73319517821,14823.01148622483,3968.8551932908595,1297.5358049944043,4278.952924828976,717.0271948063746
41992,772.2429753856268,0.0,0.0,313.8191798562184,2940.9195537134074,7992.651565181091,24286.84668917395,642207.1605656743,3655.0248338286765,2647.249579621479,6067.557638344355,1348.8237451463938,772.2429753856268,0.0,0.0,313.8191798562184,2940.9195537134074,7992.651565181091,24286.84668917395,29887.598065674305,3655.0248338286765,2647.249579621479,6067.557638344355,1348.8237451463938
41994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41999,17560646.45984732,63222640.0,118987653.00858364,92735469.11128543,-531105.639155738,0.0,0.0,-28406.180525992997,0.0,0.0,-329814.63645956665,-685949.7343183309,0.0,0.0,0.0,0.0,-531105.639155738,0.0,0.0,-28406.180525992997,0.0,0.0,-329814.63645956665,-685949.7343183309
42000,0.0,0.0,0.0,0.0,0.0,0.0,1156975.75,14748920.0,10750579.0,15039247.0,939001.6875,-59320.8797884807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59320.8797884807
42009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42011,-2691.7654185421998,0.0,0.0,-78.6970711639151,-4015.718754241243,-19815.771764444653,-84650.10842880048,-492478.8725380711,-489529.5520644188,-602425.6773813963,-353483.3151191026,-129465.77537205815,-2691.7654185421998,0.0,0.0,-78.6970711639151,-4015.718754241243,-19815.771764444653,-84650.10842880048,-492478.8725380711,-489529.5520644188,-602425.6773813963,-353483.3151191026,-129465.77537205815
42024,-108121.72326361062,-5540.397108410689,0.0,0.0,0.0,0.0,0.0,0.0,-1555.2559980624355,-398584.5114523228,-341362.9727459103,-262578.03336219676,-108121.72326361062,-5540.397108410689,0.0,0.0,0.0,0.0,0.0,0.0,-1555.2559980624355,-398584.5114523228,-341362.9727459103,-262578.03336219676
42025,0.0,0.0,0.0,0.0,0.0,72929.1741030598,4556137.718716413,1685431.7542330697,3955118.4453006387,4665156.187507018,59392.11753731221,0.0,0.0,0.0,0.0,0.0,0.0,72929.1741030598,4556137.718716413,1685431.7542330697,3955118.4453006387,4665156.187507018,59392.11753731221,0.0
42026,0.0,0.0,0.0,0.0,-19076.019967172295,169852.40415457636,2923724.363597557,1614859.6904061437,2409183.8746685684,2234690.2910283804,83083.11451801658,0.0,0.0,0.0,0.0,0.0,-19076.019967172295,169852.40415457636,2923724.363597557,1614859.6904061437,2409183.8746685684,2234690.2910283804,83083.11451801658,0.0
